zone_risk,rain,aqi,traffic,claims,consistency,waterlogging_history,forecast_rain_48h,forecast_aqi_48h,coverage_hours,premium
39,37,279,3,2,0.7171971827552144,20,29,146,24,27.37
37,63,366,3,3,0.5121579832157269,48,16,221,24,28.0
39,92,95,5,2,0.873859386948707,36,23,398,24,28.0
55,52,144,3,3,0.92650472773368,62,84,210,24,28.0
76,17,330,6,1,0.9650084174054159,45,23,163,24,28.0
41,46,391,7,1,0.6270818245348694,1,89,322,24,28.0
42,8,348,6,4,0.6482550718238993,25,98,355,24,28.0
34,23,62,7,0,0.813947207474318,19,64,313,24,26.53
25,13,192,2,1,0.7192370615090435,62,85,100,24,23.92
34,57,112,6,1,0.9302023091558376,48,51,219,24,28.0
79,14,103,5,0,0.9139345018937943,59,4,152,16,25.59
77,5,399,3,3,0.5663727111214849,29,18,194,24,28.0
72,18,141,7,1,0.5126753717077288,61,22,176,24,28.0
18,11,178,1,1,0.6198936795787016,47,88,286,24,23.19
10,15,238,7,4,0.8058603731171761,66,75,203,24,28.0
25,50,135,9,4,0.5580363202534582,68,46,143,24,28.0
71,68,253,5,3,0.5866009349550076,93,22,299,24,28.0
19,68,149,2,3,0.6873063073132356,18,57,145,24,23.72
10,68,53,8,1,0.513255655270811,31,90,389,24,28.0
33,11,227,3,3,0.5642501766169551,60,50,150,24,28.0
21,66,114,1,1,0.6033421799383727,28,12,61,16,18.25
55,1,302,3,1,0.8415033867081785,80,89,313,24,28.0
35,73,139,2,2,0.6409273873867,67,57,163,24,27.75
84,28,266,5,4,0.6410172862856532,9,72,241,24,28.0
58,98,85,2,0,0.8882064803709984,23,22,239,24,22.93
46,11,232,7,0,0.6191180762019897,29,16,111,24,27.94
93,88,391,3,0,0.5267426483736845,60,18,125,24,28.0
18,70,333,4,2,0.7465128288859024,15,68,148,24,28.0
21,24,102,7,0,0.556732301008724,52,41,235,24,26.72
48,13,272,5,2,0.9438520913791499,74,17,288,24,28.0
85,8,123,1,4,0.9192403818819925,45,12,217,24,28.0
51,8,332,2,4,0.7566630843461964,37,82,185,24,28.0
74,85,194,7,0,0.7959443694106422,35,69,301,24,28.0
40,18,231,7,2,0.6243620772151439,18,38,175,24,28.0
76,44,190,2,3,0.7857365126025053,19,91,366,24,28.0
48,0,397,9,3,0.6428560431409304,55,32,166,24,28.0
15,57,93,5,4,0.9964823980596502,35,98,196,24,28.0
29,56,96,9,0,0.8478743444923086,30,0,103,8,27.11
12,15,61,8,3,0.5533780329679422,7,91,213,24,28.0
99,7,235,2,3,0.5388673184824924,40,99,241,24,28.0
36,62,194,9,0,0.7056033604360932,76,91,289,24,28.0
38,12,95,3,4,0.9702659135676917,68,46,59,24,26.64
65,29,291,5,0,0.8888011418676127,17,95,288,24,28.0
58,10,390,9,2,0.9210594615678543,76,32,147,24,28.0
10,20,360,6,3,0.9064505045650388,94,4,308,24,28.0
62,22,102,5,1,0.9248236953387057,16,84,127,24,26.15
82,0,100,4,0,0.8358503422029284,31,33,397,24,27.22
81,38,203,2,2,0.7600817505559967,11,64,103,24,28.0
14,93,271,9,0,0.5670076142253204,46,22,256,24,28.0
94,13,115,3,3,0.9902313625461889,49,97,387,24,28.0
39,78,396,3,1,0.6741277335116502,37,96,384,24,28.0
39,50,130,5,4,0.573536740464519,55,16,379,24,28.0
26,83,118,2,4,0.6737067041127072,42,74,160,24,28.0
32,54,385,6,3,0.5909400421995724,55,24,244,24,28.0
76,26,142,2,4,0.5961445094043354,18,20,54,24,27.62
91,91,219,6,4,0.7743576546037043,4,11,395,24,28.0
55,33,127,9,1,0.8997051994545213,85,55,399,24,28.0
72,47,110,1,1,0.9341505535177934,7,98,302,24,25.32
61,78,352,8,1,0.8799777044687929,77,87,203,24,28.0
23,58,361,3,2,0.9476034188435997,17,37,276,24,26.73
24,63,168,5,3,0.5100355988888632,56,16,280,24,28.0
95,89,175,9,0,0.6714634321391302,24,67,116,24,28.0
27,99,160,6,1,0.7788711329752187,39,82,91,24,28.0
50,5,229,2,2,0.6780483629489231,69,32,199,24,27.15
30,69,119,7,3,0.9254087589180731,61,61,399,24,28.0
33,54,186,7,2,0.7622556947851273,39,35,272,24,28.0
15,65,269,4,0,0.7453743896293923,50,61,243,24,28.0
88,74,75,3,4,0.8847464665959685,69,25,167,24,28.0
77,18,261,1,3,0.6212048662075401,46,0,139,8,28.0
23,63,87,5,2,0.966007171128467,76,2,210,24,27.06
15,49,59,5,1,0.9949801161949726,12,39,179,24,19.1
93,64,368,5,0,0.8801139299448433,74,14,87,16,28.0
44,93,144,1,4,0.9153097038938646,49,77,186,24,28.0
43,75,84,1,3,0.920914388379136,71,10,278,24,26.55
23,59,335,3,4,0.593202493394072,82,77,111,24,28.0
13,88,286,9,1,0.9082997197357885,38,13,337,24,28.0
60,37,72,1,0,0.677681225909198,65,77,358,24,26.39
60,38,247,6,2,0.8138540265357089,71,41,64,24,28.0
38,32,280,4,4,0.5758374398663756,96,26,338,24,28.0
77,85,371,5,2,0.8773176459300582,37,12,208,24,28.0
56,99,265,4,4,0.7699303185564184,28,46,373,24,28.0
85,44,179,3,2,0.7827541736614869,25,42,332,24,28.0
78,19,60,8,1,0.9736416698059076,11,89,190,24,28.0
71,81,160,8,3,0.7964814526294108,99,67,182,24,28.0
46,71,176,1,3,0.687217684860211,8,50,78,24,24.33
87,39,346,6,2,0.725419685702066,45,20,395,24,28.0
45,53,362,1,2,0.7956377178724646,20,46,358,24,28.0
18,73,362,5,1,0.6667495858455721,62,24,139,24,28.0
84,37,259,2,2,0.7261089704449035,42,58,300,24,28.0
60,53,201,9,3,0.709462724752274,87,32,226,24,28.0
38,62,199,2,4,0.7575868412034064,80,83,226,24,28.0
29,85,112,8,0,0.6497979558832385,95,12,264,24,28.0
60,55,260,1,4,0.6888629737200846,15,39,68,24,28.0
27,0,127,3,1,0.7621951346637901,91,93,215,24,26.01
60,62,181,1,4,0.5377516819019446,2,31,315,24,28.0
83,82,211,1,3,0.9198944297282853,6,92,57,24,28.0
74,56,296,3,2,0.752753939553017,71,53,298,24,28.0
76,50,146,8,1,0.9026574836789525,87,77,337,24,28.0
55,15,214,6,4,0.7031961541367611,54,47,56,24,28.0
83,6,210,7,4,0.5132661019369098,18,35,334,24,28.0
69,81,51,1,4,0.670908675848938,1,66,168,24,28.0
21,19,310,5,0,0.7180632645676583,43,98,391,24,28.0
33,80,251,8,2,0.9472761134470458,95,80,164,24,28.0
90,13,58,8,1,0.8167391099130736,72,21,284,24,28.0
13,25,78,2,4,0.5091953382737333,17,84,91,24,24.17
50,37,83,1,4,0.8257101941759322,75,86,166,24,28.0
95,84,76,9,2,0.7987065510851541,11,52,222,24,28.0
26,25,239,2,3,0.9793135886566102,64,50,230,24,27.09
45,25,78,5,2,0.6443468683853499,35,58,344,24,28.0
63,97,104,8,4,0.7418774709662064,35,19,276,24,28.0
90,61,250,2,4,0.6721918660221167,39,16,178,24,28.0
98,60,153,9,2,0.9095511588370999,43,50,151,24,28.0
21,18,150,1,4,0.895006779395928,56,54,352,24,27.4
21,61,129,8,2,0.8661124432047806,20,80,264,24,28.0
89,69,249,9,1,0.7447124818215702,14,58,75,24,28.0
56,31,315,7,0,0.5902876725636668,84,85,299,24,28.0
16,13,384,5,0,0.5962995138928152,71,58,264,24,28.0
91,94,152,1,2,0.780338597001757,44,97,180,24,28.0
46,42,232,7,3,0.7862138797167328,3,92,259,24,28.0
42,15,157,2,2,0.9350494369504649,29,12,190,16,21.83
27,31,145,3,2,0.9989670552666687,28,61,367,24,27.78
66,15,285,9,1,0.5458496675557151,83,4,114,8,28.0
58,2,191,8,1,0.648154060227995,61,36,202,24,28.0
57,64,122,1,0,0.839823641346535,11,58,342,24,21.24
70,42,247,7,2,0.9518619835876352,97,24,248,24,28.0
61,3,108,8,3,0.9189128676416227,53,73,156,24,28.0
66,89,290,3,4,0.5289213382816982,46,86,226,24,28.0
18,98,69,1,4,0.6301166839757637,34,49,387,24,28.0
71,16,265,3,2,0.6122202859183303,88,72,117,24,28.0
23,97,316,9,2,0.6364796874281575,28,8,244,24,28.0
34,97,381,9,0,0.7754286853045697,58,97,173,24,28.0
88,37,377,5,1,0.7663012597003811,36,59,225,24,28.0
86,27,130,2,4,0.740293288663324,92,57,372,24,28.0
65,39,89,1,2,0.9340804020257735,91,96,108,24,28.0
68,47,218,9,4,0.8400703858801502,62,26,237,24,28.0
16,4,284,9,2,0.9395357401140658,41,9,209,24,28.0
62,29,88,2,3,0.7780908675198785,76,92,61,24,28.0
48,65,273,1,0,0.8159067635083341,94,97,237,24,28.0
73,87,212,6,2,0.8805139512510141,73,95,368,24,28.0
37,59,384,5,4,0.8944034909353722,19,95,291,24,28.0
77,90,241,1,3,0.5336753007343858,9,64,71,24,28.0
99,81,355,4,2,0.565043120065316,75,6,78,16,28.0
20,32,183,3,2,0.8416476883032527,25,97,275,24,27.71
38,3,148,9,4,0.8468411128907443,31,1,224,24,28.0
87,83,71,3,0,0.981618326720066,55,91,70,24,28.0
56,79,133,6,2,0.6371076011743351,2,0,107,8,28.0
47,14,211,3,0,0.8258334126879425,11,17,320,24,21.14
89,26,121,9,0,0.5455822452030958,7,78,76,24,28.0
55,49,248,3,4,0.5656224388411938,52,23,365,24,28.0
12,19,95,9,0,0.8036532241313357,83,99,58,24,28.0
47,47,368,6,4,0.6344967022175488,87,71,113,24,28.0
86,80,121,5,1,0.8402283131796626,81,94,215,24,28.0
41,10,350,9,0,0.9763243190193585,40,7,316,24,28.0
95,50,137,9,0,0.5513962022463328,45,31,129,24,28.0
63,85,141,4,0,0.779824341743457,31,96,51,24,28.0
42,76,126,4,1,0.698461638100798,65,37,139,24,28.0
55,14,155,7,3,0.5522839201672001,74,60,172,24,28.0
15,8,311,9,0,0.8545302597254583,7,71,227,24,28.0
71,83,367,7,2,0.9474083280302639,3,5,363,24,28.0
31,25,52,9,3,0.8657947608776659,74,81,61,24,28.0
96,11,74,3,1,0.6645087189073311,99,44,270,24,28.0
62,54,337,3,3,0.7776817754688157,17,82,199,24,28.0
46,95,361,9,2,0.8251628431734684,73,34,142,24,28.0
63,62,256,1,3,0.5870966682891268,84,30,73,24,28.0
29,36,53,4,3,0.5200545957062412,48,50,145,24,28.0
45,97,277,2,1,0.8964780473028158,38,41,292,24,28.0
67,11,180,2,4,0.8665565112076405,98,25,57,24,28.0
96,41,63,2,4,0.9271925466847896,40,61,365,24,28.0
23,88,133,2,0,0.6955407683258803,27,65,212,24,23.53
14,64,213,7,2,0.9418548348303764,13,79,142,24,28.0
19,75,399,9,0,0.7247169176068688,7,42,50,24,28.0
66,63,333,9,2,0.8682010075328203,75,36,354,24,28.0
53,55,205,6,3,0.7699529197511062,19,77,179,24,28.0
82,36,69,1,2,0.7260995141417177,58,68,210,24,28.0
60,77,61,4,4,0.7399485407960367,42,97,266,24,28.0
59,28,234,7,2,0.7444232901284601,43,37,389,24,28.0
32,44,357,2,1,0.8664494591706708,7,84,178,24,25.29
17,28,54,6,1,0.8308161751855734,89,42,163,24,25.48
91,16,75,8,0,0.5151935298484185,71,88,351,24,28.0
77,32,50,3,4,0.8334857584954536,89,61,269,24,28.0
75,63,112,9,0,0.7034539803614352,47,12,122,16,28.0
86,30,373,2,4,0.8825954322778924,3,18,131,24,28.0
22,22,388,1,0,0.6641906139425405,64,75,248,24,26.03
24,20,365,9,0,0.6187720654371638,34,43,151,24,28.0
99,10,159,2,0,0.6898928900896149,25,71,353,24,28.0
75,69,166,9,3,0.5744959279850974,47,36,349,24,28.0
24,42,392,6,1,0.8577454535496372,42,20,156,24,28.0
89,46,166,9,3,0.9635172723981533,14,67,326,24,28.0
22,85,324,2,4,0.8086758787064872,51,26,206,24,28.0
37,34,185,4,1,0.6999526034020781,76,3,139,8,26.12
98,93,312,7,4,0.5922925647685164,62,55,290,24,28.0
51,60,347,8,3,0.712263712598181,6,53,221,24,28.0
54,46,190,7,4,0.942103231674204,8,25,58,24,28.0
24,9,170,8,0,0.618435279487241,36,67,99,24,28.0
33,18,149,7,1,0.9047649878842209,18,35,291,24,25.84
78,46,98,3,3,0.9313985387716143,20,80,199,24,28.0
57,36,192,3,3,0.6030930822592132,10,9,127,16,26.76
86,56,303,9,1,0.6372701270000627,6,84,195,24,28.0
76,41,174,7,0,0.8462180756621849,23,59,351,24,28.0
28,67,267,6,1,0.9527623961648369,35,96,213,24,28.0
12,72,185,1,2,0.671780237387852,67,12,98,16,22.66
69,1,54,5,1,0.8400659655517257,43,57,308,24,28.0
95,69,179,7,3,0.8309195949246893,80,34,335,24,28.0
17,21,349,4,4,0.5876514711788299,30,46,360,24,28.0
89,61,207,9,3,0.673785762119491,11,7,52,16,28.0
25,29,286,7,3,0.9870823143140077,4,83,297,24,28.0
74,29,198,4,1,0.8939509941461325,31,32,321,24,28.0
85,37,275,4,0,0.6136786500480493,65,84,307,24,28.0
82,64,380,3,3,0.6398517692357396,25,67,360,24,28.0
15,34,192,6,3,0.9257124788725479,11,48,91,24,26.2
47,81,340,8,1,0.9340283450537252,5,66,385,24,28.0
16,51,63,9,4,0.5114469124880601,90,1,255,24,28.0
29,81,305,9,1,0.5662623363709243,53,32,213,24,28.0
23,64,159,6,4,0.6587657239383685,98,40,74,24,28.0
22,97,74,4,4,0.7747647679475085,31,95,141,24,28.0
22,30,383,4,1,0.6388763118746306,62,5,209,24,28.0
52,1,109,7,2,0.6932304205795736,4,82,315,24,28.0
98,1,316,2,4,0.8097488757037938,78,72,132,24,28.0
18,98,198,9,3,0.6516375737837978,6,79,301,24,28.0
13,3,152,8,0,0.6163227692813404,51,92,357,24,28.0
45,37,280,2,4,0.9433021076202334,61,98,56,24,28.0
36,91,63,7,4,0.6935393801678154,4,54,111,24,28.0
30,78,198,7,1,0.5948474240873386,4,64,62,24,28.0
94,89,291,5,4,0.9007685559414949,44,31,213,24,28.0
90,98,237,5,3,0.6330096390026904,25,67,83,24,28.0
61,81,281,3,0,0.807040655592368,28,37,91,24,27.37
30,41,162,9,0,0.8293460731037218,40,0,179,16,28.0
69,47,78,1,1,0.9651594424189118,59,20,333,24,24.77
84,33,313,6,0,0.8069667923800309,59,86,393,24,28.0
54,82,118,1,4,0.5239154101970527,71,86,92,24,28.0
10,50,201,1,4,0.7542896447237892,57,30,277,24,27.2
20,51,260,7,2,0.592597783933734,57,4,310,24,28.0
17,63,187,6,3,0.9494504120031177,7,24,378,24,28.0
75,78,98,4,3,0.8873168903188939,40,88,168,24,28.0
71,9,198,4,3,0.737168054953107,1,12,230,24,28.0
41,94,337,2,2,0.5218678129399847,16,39,232,24,28.0
82,24,364,9,1,0.9715379188723539,29,83,262,24,28.0
53,31,223,1,4,0.64295339461958,31,93,168,24,28.0
48,11,282,2,4,0.8775209643731392,20,7,351,24,28.0
16,22,285,6,2,0.6346656491510125,91,28,318,24,28.0
91,1,78,5,3,0.9088926649284725,94,78,137,24,28.0
53,76,327,5,4,0.8717118930383047,2,62,167,24,28.0
28,22,79,7,3,0.818145676989624,7,57,193,24,27.81
81,0,310,3,0,0.6389510486244339,98,95,369,24,28.0
98,9,351,7,2,0.594012367307708,40,12,135,16,28.0
99,57,103,1,0,0.9790367400596901,19,74,292,24,24.81
79,55,260,5,1,0.6841547652534241,3,19,73,24,28.0
35,36,279,5,4,0.5145356901719769,45,3,237,24,28.0
66,44,69,1,3,0.7550548562494126,2,87,278,24,26.87
89,57,104,4,3,0.5264019802342641,23,33,207,24,28.0
91,18,208,3,0,0.818245325524577,82,21,201,24,28.0
85,29,363,6,4,0.8943074823362032,63,18,222,24,28.0
64,54,195,4,0,0.7991126470318695,46,74,362,24,28.0
54,32,247,4,3,0.892825809040116,90,14,247,24,28.0
56,77,173,7,0,0.9751563764652958,68,60,187,24,28.0
59,2,156,1,4,0.8488353137600375,50,18,84,24,25.76
55,25,118,5,3,0.9013216548978552,73,63,310,24,28.0
79,89,309,7,1,0.9546950960041981,23,56,149,24,28.0
79,40,231,9,3,0.8284775781335698,35,84,155,24,28.0
39,85,269,7,2,0.6378061693394728,13,9,385,24,28.0
25,53,155,9,4,0.6340695100477567,72,44,277,24,28.0
65,83,387,9,4,0.7662103411376086,32,90,56,24,28.0
79,14,209,8,2,0.9816972171067753,14,47,248,24,28.0
30,41,203,8,0,0.7472405656475465,20,81,118,24,28.0
12,86,267,5,0,0.731966243344168,88,84,210,24,28.0
59,67,376,6,0,0.7616954556871832,60,60,77,24,28.0
67,42,218,7,0,0.771769108671323,69,69,147,24,28.0
74,73,390,5,1,0.8320939572527086,56,65,379,24,28.0
25,50,174,7,3,0.5311365529409429,39,37,108,24,28.0
19,98,241,3,0,0.6006818910679872,6,20,69,24,20.65
35,67,263,8,4,0.8298146831973712,91,13,217,24,28.0
67,27,75,1,1,0.5326022956302461,2,71,93,24,21.03
51,98,311,7,3,0.7258484096158413,49,42,246,24,28.0
60,10,317,8,3,0.8964272095169197,35,84,121,24,28.0
64,8,96,8,1,0.578977411417674,83,69,317,24,28.0
11,6,385,3,4,0.9530716273828832,39,32,269,24,28.0
10,7,150,5,3,0.8992966361913757,18,31,186,24,22.86
21,10,351,7,0,0.7088804896375498,20,29,318,24,28.0
43,3,151,7,2,0.8434304988375145,2,96,245,24,28.0
34,19,203,5,2,0.5937059720487912,92,8,183,16,28.0
92,59,262,8,1,0.9096275524357306,75,91,335,24,28.0
99,20,205,8,1,0.5503187392617667,84,34,229,24,28.0
43,40,356,2,1,0.8068887094078495,22,47,199,24,26.67
26,68,157,3,0,0.5631323707822513,15,33,115,24,19.56
49,27,96,7,0,0.827641204845829,0,71,296,24,27.12
96,62,116,4,1,0.7563273765725265,37,14,240,24,28.0
30,98,362,5,4,0.8265813952656416,13,99,88,24,28.0
18,98,301,2,2,0.9535975153529149,90,22,140,24,28.0
55,37,191,4,4,0.7733241100938942,34,18,79,24,28.0
87,83,330,8,1,0.9831217053533992,21,47,132,24,28.0
60,2,324,9,3,0.5090032778002272,70,77,112,24,28.0
82,18,169,6,4,0.7703492383224552,39,80,335,24,28.0
18,63,210,8,3,0.6506326303800002,74,52,276,24,28.0
68,77,271,9,3,0.5322456356245837,91,7,51,16,28.0
95,40,169,7,4,0.9190760917759622,47,29,317,24,28.0
44,10,113,2,4,0.7607228445217947,68,47,325,24,28.0
76,43,250,9,3,0.9342757531601444,97,87,114,24,28.0
17,44,392,8,3,0.9553382897175697,45,46,64,24,28.0
28,25,357,6,4,0.8156537765459944,19,28,228,24,28.0
13,54,397,4,3,0.7438335343106321,85,65,211,24,28.0
64,0,121,7,0,0.501460516310681,60,11,311,24,28.0
99,26,185,3,3,0.7348208873403546,56,92,158,24,28.0
49,13,340,4,0,0.7582863142229895,48,45,239,24,28.0
17,42,139,7,4,0.7192692442687177,63,61,155,24,28.0
63,8,393,5,0,0.8085332580589006,87,20,356,24,28.0
68,38,232,9,4,0.8377101037735446,18,10,382,24,28.0
55,44,50,8,3,0.8649301544242392,71,71,158,24,28.0
21,60,289,1,4,0.8592146149093676,91,68,57,24,28.0
34,90,223,7,4,0.9147937784326252,48,46,389,24,28.0
91,17,373,1,3,0.6845265108804583,18,27,133,24,28.0
85,14,90,7,1,0.834286323361457,73,65,356,24,28.0
84,76,315,2,2,0.9566434737881184,38,27,308,24,28.0
93,69,204,5,1,0.7649957614632094,2,15,399,24,28.0
49,1,130,9,3,0.6475203538270782,64,54,350,24,28.0
88,89,262,1,0,0.864586743774724,37,27,326,24,28.0
63,17,148,7,0,0.6531567493891064,29,59,337,24,28.0
76,66,205,9,2,0.7910993732970569,56,99,216,24,28.0
43,55,205,5,3,0.5223892252523341,64,64,96,24,28.0
29,18,206,2,3,0.50335519515203,94,90,175,24,28.0
20,48,343,5,1,0.920861680872338,55,75,370,24,28.0
40,3,162,2,4,0.6142433733773853,87,58,116,24,28.0
84,44,309,6,2,0.6939933799734348,50,49,311,24,28.0
68,14,294,5,1,0.5580694801002628,41,34,136,24,28.0
15,67,323,9,0,0.5441008518949353,58,46,175,24,28.0
26,95,327,4,4,0.5770725215892436,48,12,211,24,28.0
95,52,392,3,2,0.6511666246757468,31,50,299,24,28.0
94,45,70,7,3,0.6736385195152538,91,62,329,24,28.0
22,97,188,4,2,0.8911941647300436,98,81,153,24,28.0
95,23,299,3,4,0.8654090143559043,7,27,54,24,28.0
26,35,196,5,1,0.8610716177279529,44,46,189,24,26.49
30,10,54,1,3,0.733391038615594,11,69,66,24,19.08
28,25,353,4,1,0.7457090887642783,74,32,265,24,28.0
32,14,252,9,2,0.7886395146165657,50,52,268,24,28.0
91,91,224,4,4,0.7382416918891463,72,71,165,24,28.0
54,80,386,1,0,0.9465451025977074,18,62,343,24,28.0
76,58,374,7,1,0.7384217341589085,92,85,220,24,28.0
76,53,347,5,3,0.9022186038397525,23,34,233,24,28.0
39,56,271,3,2,0.6003255087018806,25,70,79,24,28.0
16,66,114,4,0,0.8164531653392171,14,36,190,24,18.64
17,4,237,9,0,0.9229607198388661,65,62,153,24,28.0
32,8,339,4,2,0.6744102669847396,2,13,237,24,25.85
86,44,339,3,2,0.9344721261395725,65,39,194,24,28.0
43,15,237,2,1,0.8550550282108533,55,30,339,24,26.0
48,66,264,8,2,0.5110134606119086,52,38,370,24,28.0
26,29,318,5,2,0.6789070420567744,56,24,263,24,28.0
40,80,232,7,1,0.7929323942267597,71,53,101,24,28.0
29,31,63,2,3,0.6173267208879247,52,23,384,24,27.23
31,29,240,4,4,0.9583958453511676,7,81,61,24,28.0
40,77,339,2,1,0.8608607763585896,75,48,128,24,28.0
66,94,290,2,0,0.5313448108109329,49,7,374,24,28.0
53,63,206,9,0,0.5649649622678506,8,26,211,24,28.0
53,67,149,2,2,0.7169087097882647,48,69,161,24,28.0
65,75,228,5,0,0.8435096332516214,89,28,365,24,28.0
98,54,224,7,4,0.8565230253171594,12,32,73,24,28.0
20,16,330,9,4,0.7377033039250369,82,11,342,24,28.0
51,16,150,6,3,0.9329100826111776,98,46,195,24,28.0
87,98,285,9,3,0.9294783427103148,12,81,278,24,28.0
22,99,80,2,0,0.8286767410850643,74,53,149,24,21.65
96,44,286,2,0,0.5683004518255863,6,35,323,24,28.0
12,27,375,5,3,0.8566034416413089,53,64,70,24,28.0
22,56,98,6,1,0.7719028639331187,46,52,123,24,26.73
55,12,214,6,1,0.5096638154588005,99,13,187,16,28.0
44,24,160,6,0,0.9530329428431826,23,28,220,24,24.99
34,99,237,6,0,0.6559319289584415,27,15,224,24,28.0
90,91,235,6,4,0.538192472495728,46,93,282,24,28.0
43,36,183,7,4,0.6709018527460913,54,57,56,24,28.0
66,11,65,5,3,0.774191018097827,99,50,209,24,28.0
84,7,274,7,0,0.6455721238925896,44,85,108,24,28.0
13,66,206,2,1,0.7420385348551009,78,86,267,24,27.88
13,89,153,9,4,0.7653686776434179,83,49,380,24,28.0
24,31,77,6,0,0.6024906047634082,89,70,75,24,27.39
34,9,350,3,2,0.9908266619262239,71,67,370,24,28.0
58,46,101,6,3,0.7694065045198095,30,45,291,24,28.0
35,4,133,4,0,0.7238367127052092,53,32,275,24,22.57
24,95,110,5,4,0.810454295108854,61,85,259,24,28.0
87,73,351,3,4,0.7406666882678324,32,80,289,24,28.0
84,76,99,6,0,0.5984628522267141,98,47,233,24,28.0
73,58,139,9,3,0.6297708915880451,88,17,68,24,28.0
96,54,203,6,3,0.9146958134792562,28,58,174,24,28.0
26,42,294,2,1,0.8786551035672194,12,7,143,16,19.31
74,42,88,1,2,0.9800838923643727,85,92,135,24,28.0
53,8,123,4,4,0.6884927709631401,27,41,304,24,28.0
52,84,265,8,1,0.7573418085607195,47,90,327,24,28.0
36,92,190,4,0,0.576903512320804,26,33,178,24,26.93
41,88,142,7,0,0.8177218228297614,19,93,212,24,28.0
99,77,66,2,4,0.6255006916311501,83,52,140,24,28.0
91,67,163,1,1,0.93867780610263,19,86,315,24,28.0
68,74,90,9,4,0.5180094091457133,16,21,286,24,28.0
50,92,117,5,2,0.7816623210165233,20,98,125,24,28.0
35,18,158,7,1,0.9462791137432373,20,77,181,24,28.0
32,83,291,4,4,0.7955651516292582,40,18,161,24,28.0
55,27,373,3,4,0.7300011977903995,23,26,89,24,28.0
72,60,213,2,4,0.8855614079259433,3,66,339,24,28.0
66,48,230,8,3,0.7126140927188469,68,94,303,24,28.0
62,61,218,9,4,0.7082829142411461,53,69,362,24,28.0
19,39,152,6,4,0.6519712561275137,2,50,391,24,28.0
56,67,381,6,2,0.8315235959017112,40,68,392,24,28.0
67,49,79,5,0,0.6264068030446003,50,77,234,24,28.0
56,99,88,8,4,0.771235501731328,71,15,108,16,28.0
40,41,251,2,0,0.6344233712264217,95,9,263,24,25.6
26,67,97,4,0,0.5649706861339706,64,62,266,24,27.65
60,35,130,9,1,0.8486046909548184,95,38,247,24,28.0
10,22,216,9,0,0.5154289521540363,40,92,122,24,28.0
22,69,311,4,3,0.5786631400009141,80,62,98,24,28.0
85,46,158,7,0,0.6559920101632093,89,14,149,16,28.0
41,95,177,4,1,0.508030932490503,42,34,127,24,28.0
67,32,319,2,4,0.5487571628204487,87,58,388,24,28.0
15,96,217,3,4,0.7523977991522641,26,79,62,24,28.0
73,61,196,9,3,0.8385762062288369,43,22,51,24,28.0
31,56,377,7,2,0.9253401303024231,82,50,259,24,28.0
89,71,173,1,0,0.5098978291736271,52,74,332,24,28.0
21,16,146,5,0,0.9389922484924174,68,58,82,24,21.91
71,49,68,6,4,0.5360555464647176,93,46,216,24,28.0
77,32,190,4,2,0.8926344057580076,92,19,78,24,28.0
33,81,368,9,0,0.505740329874689,61,28,251,24,28.0
26,65,55,5,3,0.7018005011807956,68,81,268,24,28.0
58,75,120,3,1,0.758394969564079,34,79,51,24,28.0
